 Td        ID        Tj        Df        Dd        Db
350      2434       146        48       156       204
350      2435       147        47       156       203
351      2436       147        47       157       204
351      2437       147        47       157       204
351       452       150        49       152       201
351       453       150        49       152       201
352      2438       147        48       157       205
352      2439       147        48       157       205
352       454       150        49       153       202
353      2344       110        37       206       243
354      2250        83        27       244       271
354       351       114        36       204       240
354       352       114        36       204       240
355       355       114        37       204       241
355       457       152        50       153       203
356      2603       197        67        92       159
357       459       152        50       155       205
357       460       152        50       155       205
358       261        88        27       243       270
359      2445       149        49       161       210
359      2446       149        49       161       210
359      2447       149        49       161       210
359      2448       149        49       161       210
361      2449       149        50       162       212
361      2348       111        38       212       250
362      2450       150        49       163       212
362       360       116        37       209       246
362       461       154        50       158       208
362       462       154        50       158       208
362       463       154        50       158       208
362       464       154        50       158       208
363       465       154        50       159       209
364       631       205        67        92       159
364       632       205        67        92       159
364       634       205        67        92       159
364       466       155        50       159       209
366      2352       114        37       215       252
366      2353       114        37       215       252
367      2457       152        50       165       215
367       468       155        51       161       212
367       469       155        51       161       212
367       361       118        37       212       249
368      2459       152        50       166       216
368       363       118        38       212       250
368       364       118        38       212       250
368       365       118        38       212       250
368       366       119        38       211       249
371      2198        66        21       284       305
371      2199        66        21       284       305
371       369       119        38       214       252
371       370       119        38       214       252
371       210        68        22       281       303
372       371       120        38       214       252
373      2463       154        50       169       219
373       472       159        51       163       214
373       475       159        51       163       214
374       373       120        39       215       254
374       374       120        39       215       254
375       375       120        39       216       255
375       477       160        51       164       215
376      2358       116        38       222       260
376      2635       206        72        98       170
376       480       160        52       164       216
376       376       121        39       216       255
376       377       121        39       216       255
378      2467       155        51       172       223
378      2469       155        51       172       223
379      2263        88        28       263       291
380      2265        89        28       263       291
380      2266        89        28       263       291
380      2360       118        39       223       262
381      2640       209        72       100       172
381      2643       209        72       100       172
381      2644       209        72       100       172
381      2361       118        39       224       263
382       271        92        29       261       290
382       272        92        29       261       290
382       273        92        29       261       290
382       274        92        29       261       290
383      2470       159        51       173       224
383      2471       159        51       173       224
383      2472       159        51       173       224
383      2473       159        51       173       224
385      2365       119        40       226       266
385      2366       119        40       226       266
385      2367       119        40       226       266
386      2479       160        52       174       226
386      2368       119        41       226       267
386      2369       119        41       226       267
386       488       163        53       170       223
386       489       163        53       170       223
387       490       163        53       171       224
387       276        94        29       264       293
388      2480       161        52       175       227
388      2481       161        52       175       227
389      2482       161        52       176       228
389      2483       161        52       176       228
389      2484       161        52       176       228
390       279        94        30       266       296
391       280        94        30       267       297
392      2486       163        52       177       229
392      2487       163        52       177       229
392      2488       163        52       177       229
392       496       166        53       173       226
392       497       166        53       173       226
393       498       166        53       174       227
393       499       166        53       174       227
394      2375       121        42       231       273
395      2376       121        42       232       274
395      2377       121        42       232       274
395      2378       121        42       232       274
395       391       126        40       229       269
395       392       126        40       229       269
396      2665       217        76       103       179
396      2666       217        76       103       179
396      2667       217        76       103       179
397       394       126        41       230       271
398       285        95        31       272       303
399      2495       166        52       181       233
399       510       169        55       175       230
400      2497       166        52       182       234
401      2383       122        44       235       279
401      2384       122        44       235       279
401       293        97        31       273       304
402      2501       167        53       182       235
403       512       172        55       176       231
403       513       172        55       176       231
404       515       172        55       177       232
404       402       130        42       232       274
404       403       130        42       232       274
404       404       130        42       232       274
404       405       130        42       232       274
405      2284        95        29       281       310
406      2386       125        43       238       281
406       299        98        32       276       308
406       300        98        32       276       308
407      2389       125        44       238       282
408      2394       126        44       238       282
410      2510       172        54       184       238
410      2511       172        54       184       238
410      2512       172        54       184       238
411       301        99        32       280       312
412      2514       172        54       186       240
413      2398       127        45       241       286
415      2290        97        30       288       318
415      2291        97        30       288       318
416      2709       230        80       106       186
416      2522       174        56       186       242
417      2295        98        31       288       319
417      2296        98        31       288       319
418       731       237        77       104       181
418       733       237        77       104       181
419      2405       131        46       242       288
420       417       136        44       240       284
421      2409       131        46       244       290
421      2303        99        32       290       322
421       418       136        44       241       285
421       419       136        44       241       285
421       538       181        57       183       240
422      2304        99        32       291       323
424       235        76        25       323       348
