 Td        ID        Tj        Df        Dd        Db
 80        59        10         6        64        70
 81      2509        74         3         4         7
 81      2511        74         3         4         7
 81      2488        71         3         7        10
 81       543        79         0         2         2
 82      2556        80         0         2         2
 82      2565        81         0         1         1
 82      2554        80         1         1         2
 82      2520        75         4         3         7
 82       541        79         0         3         3
 83      2521        75         4         4         8
 83      2523        76         3         4         7
 83      2527        76         3         4         7
 83      2555        80         1         2         3
 83       544        79         1         3         4
 83       533        78         0         5         5
 83       553        80         1         2         3
 83       542        79         1         3         4
 83       550        80         0         3         3
 84      2508        74         3         7        10
 84      2510        74         3         7        10
 84      2569        83         0         1         1
 84      2578        84         0         0         0
 84      2512        74         3         7        10
 84      2531        78         3         3         6
 84      2532        78         3         3         6
 84      2535        78         3         3         6
 84       548        79         1         4         5
 84       572        83         0         1         1
 84       561        81         0         3         3
 85      2539        78         3         4         7
 85      2513        75         3         7        10
 85      2590        85         0         0         0
 85      2580        84         0         1         1
 85      2579        84         0         1         1
 85      2577        84         0         1         1
 85      2519        75         3         7        10
 85      2540        79         3         3         6
 85      2541        79         3         3         6
 85      2542        79         3         3         6
 85      2543        79         3         3         6
 86      2544        79         3         4         7
 86      2522        76         3         7        10
 86      2524        76         3         7        10
 86      2528        76         3         7        10
 86      2529        76         3         7        10
 86       558        80         1         5         6
 87      2553        80         3         4         7
 87      2558        81         2         4         6
 87      2559        81         2         4         6
 87      2560        81         2         4         6
 87      2598        86         0         1         1
 87      2561        81         3         3         6
 87      2562        81         3         3         6
 87      2563        81         3         3         6
 87       596        86         0         1         1
 87       581        84         0         3         3
 88      2564        81         3         4         7
 88      2566        81         3         4         7
 88      2585        85         3         0         3
 88      2586        85         3         0         3
 88      2593        85         3         0         3
 88      2537        78         3         7        10
 88      2538        78         3         7        10
 88      2514        75         3        10        13
 88       593        85         1         2         3
 88       587        85         1         2         3
 88        25         4         2        82        84
 88       509        74         4        10        14
 88        69        11         6        71        77
 88       200        35        17        36        53
 89      2515        75         3        11        14
 89      2516        75         3        11        14
 89      2517        75         3        11        14
 89      2608        87         0         2         2
 89       577        84         1         4         5
 89       576        83         1         5         6
 89       507        74         4        11        15
 89       619        88         0         1         1
 89       613        88         0         1         1
 90      2574        83         3         4         7
 90      2613        88         0         2         2
 90      2620        88         0         2         2
 90      2575        83         3         4         7
 90      2549        80         3         7        10
 90       595        86         0         4         4
 90       605        87         1         2         3
 90       589        85         0         5         5
 90       383        59         0        31        31
 90       380        59         0        31        31
 91      2552        80         3         8        11
 91      2576        84         3         4         7
 91      2581        84         3         4         7
 91      2627        90         0         1         1
 91      2625        90         0         1         1
 91      2583        84         3         4         7
 91      2584        84         3         4         7
 92      2589        85         3         4         7
 92      2591        85         3         4         7
 92      2592        85         3         4         7
 92      2594        86         3         3         6
 92      2595        86         3         3         6
 92      2596        86         3         3         6
 92      2597        86         3         3         6
 92       594        85         0         7         7
 92       118        19        16        57        73
 92       630        90         0         2         2
 92       123        19        16        57        73
 93      2545        79         3        11        14
 93      2547        79         3        11        14
 93      2636        92         0         1         1
 93      2568        83         3         7        10
 93       636        92         0         1         1
 94      2573        83         3         8        11
 94      2605        87         3         4         7
 94      2640        93         0         1         1
 94      2647        93         0         1         1
 94      2609        87         4         3         7
 94      2611        87         4         3         7
 94      2582        84         3         7        10
 94      2614        88         3         3         6
 94       626        90         1         3         4
 94       623        90         0         4         4
 94       624        90         1         3         4
 95      2615        88         3         4         7
 95      2616        88         3         4         7
 95      2617        88         3         4         7
 95      2650        95         0         0         0
 95       648        93         0         2         2
 95       642        93         0         2         2
 96      2587        85         3         8        11
 96      2588        85         3         8        11
 96      2648        95         0         1         1
 96      2659        96         0         0         0
 96       633        92         1         3         4
 96       643        93         0         3         3
 97      2599        86         3         8        11
 97      2601        86         3         8        11
 97      2602        86         3         8        11
 97      2658        96         0         1         1
 97      2668        97         0         0         0
 97      2669        97         0         0         0
 97      2567        83         3        11        14
 97      2621        90         3         4         7
 97      2622        90         3         4         7
 97      2623        90         3         4         7
 97      2624        90         3         4         7
 97      2626        90         3         4         7
 97       646        93         0         4         4
 98      2673        97         0         1         1
 98      2662        96         0         2         2
 98      2678        98         0         0         0
 98      2682        98         0         0         0
 98      2681        98         0         0         0
 98      2604        87         3         8        11
 98      2606        87         3         8        11
 98      2607        87         3         8        11
 98      2610        87         4         7        11
 98       671        97         0         1         1
 98       665        96         0         2         2
 98       664        96         0         2         2
 98       635        92         1         5         6
 99      2612        88         3         8        11
 99      2679        98         0         1         1
 99      2683        98         0         1         1
 99      2630        92         3         4         7
 99      2631        92         3         4         7
 99      2632        92         3         4         7
 99      2633        92         3         4         7
100      2634        92         3         5         8
100      2635        92         3         5         8
100      2637        92         3         5         8
100      2638        92         3         5         8
100      2692        99         0         1         1
100      2687        99         0         1         1
100      2618        88         4         8        12
100      2619        88         4         8        12
100      2642        93         3         4         7
100      2643        93         3         4         7
100       660        96         0         4         4
101      2644        93         3         5         8
101      2645        93         3         5         8
101      2698       100         0         1         1
101      2690        99         0         2         2
101      2694       100         0         1         1
101      2703       101         0         0         0
101      2600        86         3        12        15
101      2675        98         3         0         3
102      2628        90         3         9        12
102      2629        90         3         9        12
102      2570        83         3        16        19
102      2571        83         3        16        19
102      2572        83         3        16        19
102      2603        87         3        12        15
102      2708       101         0         1         1
102      2649        95         4         3         7
102       662        96         1         5         6
102       686        99         0         3         3
102       685        99         0         3         3
102       696       100         0         2         2
102       652        95         0         7         7
103      2651        95         4         4         8
103      2652        95         4         4         8
103      2653        95         4         4         8
103      2655        95         4         4         8
103      2656        95         4         4         8
103      2716       102         0         1         1
103      2717       102         0         1         1
104      2657        96         4         4         8
104      2660        96         4         4         8
104      2663        96         4         4         8
104      2664        96         4         4         8
104      2639        93         3         8        11
104      2641        93         3         8        11
104       691        99         1         4         5
105      2666        97         4         4         8
105      2667        97         4         4         8
105      2670        97         4         4         8
105      2671        97         4         4         8
105      2672        97         4         4         8
105      2731       104         0         1         1
105      2727       103         0         2         2
105      2722       103         0         2         2
105      2674        97         4         4         8
105      2646        93         4         8        12
105       725       103         0         2         2
105       723       103         0         2         2
105       722       103         0         2         2
105       721       103         0         2         2
105       640        93         0        12        12
105       695       100         1         4         5
105       701       100         1         4         5
105       631        92         0        13        13
106      2677        98         4         4         8
106      2680        98         4         4         8
106      2743       105         0         1         1
106      2744       105         0         1         1
106      2741       105         0         1         1
106      2684        99         3         4         7
106      2685        99         3         4         7
106      2686        99         3         4         7
106      2688        99         3         4         7
106      2689        99         3         4         7
106      2691        99         3         4         7
106       703       101         0         5         5
107      2754       106         0         1         1
107      2755       106         0         1         1
107      2729       104         0         3         3
107      2654        95         4         8        12
107      2700       100         3         4         7
107       734       104         0         3         3
107       749       106         0         1         1
107       756       106         0         1         1
107       754       106         0         1         1
108      2701       100         3         5         8
108      2734       104         0         4         4
108      2736       104         0         4         4
108      2661        96         4         8        12
108      2665        96         4         8        12
108      2702       101         3         4         7
108       629        90         0        18        18
108       375        58         0        50        50
108       374        58         0        50        50
108        44         7         5        96       101
108       372        58         0        50        50
108       343        54         0        54        54
108       750       106         0         2         2
109      2707       101         3         5         8
109      2761       108         0         1         1
109      2773       109         0         0         0
109      2758       108         0         1         1
110      2676        98         3         9        12
110      2759       108         0         2         2
110      2772       109         0         1         1
110      2775       110         0         0         0
110      2713       102         4         4         8
110      2714       102         4         4         8
110      2715       102         4         4         8
111      2751       106         1         4         5
111      2749       106         1         4         5
111      2693       100         3         8        11
